lo,hi,count,accuracy,confidence,condition
0.0,0.1,15,0.13333333333333333,0.0770478460937738,original
0.1,0.2,65,0.2,0.15320926732741869,original
0.2,0.30000000000000004,115,0.25217391304347825,0.2523062173439109,original
0.30000000000000004,0.4,152,0.3092105263157895,0.3499069560907389,original
0.4,0.5,189,0.4074074074074074,0.44967026227996465,original
0.5,0.6000000000000001,175,0.5028571428571429,0.5524343030793326,original
0.6000000000000001,0.7000000000000001,146,0.5273972602739726,0.6514554452406217,original
0.7000000000000001,0.8,191,0.6020942408376964,0.7479225459523225,original
0.8,0.9,247,0.659919028340081,0.851873132381362,original
0.9,1.0,2630,0.9520912547528517,0.99117173706624,original
0.0,0.1,28,0.07142857142857142,0.07824455214930429,bolero
0.1,0.2,107,0.16822429906542055,0.15790019093829893,bolero
0.2,0.30000000000000004,175,0.2857142857142857,0.25246658878667017,bolero
0.30000000000000004,0.4,182,0.31868131868131866,0.35219339649755876,bolero
0.4,0.5,225,0.4,0.45222290727827286,bolero
0.5,0.6000000000000001,186,0.41935483870967744,0.5486787176260384,bolero
0.6000000000000001,0.7000000000000001,176,0.4943181818181818,0.6464492658322508,bolero
0.7000000000000001,0.8,197,0.6091370558375635,0.7488606838405435,bolero
0.8,0.9,240,0.6666666666666666,0.8541698363920053,bolero
0.9,1.0,2409,0.9327521793275217,0.9903959790024336,bolero
