class_name,images,original,bolero,conf_original,conf_bolero,delta_pp
English springer,395,0.7215189873417721,0.48860759493670886,0.7331315302914834,0.6598988272721255,-23.291139240506325
chain saw,386,0.8549222797927462,0.7694300518134715,0.8757857884536135,0.807481080756904,-8.54922279792747
cassette player,357,0.5938375350140056,0.5294117647058824,0.6757497944000388,0.642530784866556,-6.442577030812324
gas pump,419,0.8615751789976134,0.8162291169451074,0.8897473573293493,0.8380786906261006,-4.534606205250602
golf ball,399,0.9598997493734336,0.9197994987468672,0.9664220474940494,0.9281861723440333,-4.010025062656641
garbage truck,389,0.9023136246786633,0.87146529562982,0.9051740315472252,0.8817799361015654,-3.084832904884327
parachute,390,0.9230769230769231,0.8923076923076924,0.9171536079584024,0.8742032078405221,-3.076923076923077
French horn,394,0.8451776649746193,0.8147208121827412,0.8782245304605683,0.8443662542187925,-3.0456852791878153
tench,387,0.9664082687338501,0.9509043927648578,0.9751319791303432,0.9626235577063659,-1.5503875968992276
church,409,0.3080684596577017,0.3569682151589242,0.6592921200037586,0.6624375767368268,4.88997555012225
